carrier,op_code,ticket,pnr,seat
IB,0,07563209,LJGET,3L
IB,0,07516102,HPQTU,32C
IB,0,07598994,SNLML,21E
IB,0,07533902,EWCSC,38I
IB,0,07543036,AFNCU,3P
IB,0,07579698,QADYH,22H
IB,0,07592118,EBXTF,2K
IB,0,07525342,MBWPS,1X
IB,0,07590917,LGENW,22D
IB,0,07555185,OQNJV,21L
IB,0,07590360,PMEZA,27D
IB,0,07565208,CZJRJ,12G
IB,0,07547303,BTRZJ,40L
IB,0,07580615,HKFYF,4A
IB,0,07549712,WEXIL,15A
IB,0,07532960,VCTSN,13Z
IB,0,07511184,MYKCP,17C
IB,0,07554989,VDCLU,42B
IB,0,07590002,EETIN,31W
IB,0,07549270,OITGE,3Q
IB,0,07588864,VEYHC,32R
IB,0,07589920,MADAH,16Q
IB,0,07590061,GFRAP,23L
IB,0,07520336,EDRJT,12V
IB,0,07527815,UISVY,12V
IB,0,07577674,JXNSQ,41N
IB,0,07575110,WHYHN,42U
IB,0,07581148,JZALJ,28H
IB,0,07522620,ZNLPS,36H
IB,0,07532536,FMRMC,27K
IB,0,07524938,PTUEJ,13O
IB,0,07550471,QBFQJ,19C
IB,0,07545229,BHJCD,39X
IB,0,07536303,JNNKQ,40Y
IB,0,07518683,AQZAH,40H
IB,0,07589636,DYIVW,9Q
IB,0,07523544,BKGQJ,28D
IB,0,07514554,TXKCT,3L
IB,0,07561048,EXXYZ,35G
IB,0,07558579,ALEXK,41Y
IB,0,07537291,EJRUO,13D
IB,0,07531162,PSDSU,12U
IB,0,07522237,HQLIW,1X
IB,0,07549884,VDIPE,7S
IB,0,07549094,MQHSX,40X
IB,0,07531122,ZFHEL,38U
IB,0,07570769,RSWSV,14H
IB,0,07562286,HMKSK,22O
IB,0,07516758,UWKPA,19T
IB,0,07580282,ROYBQ,39M
IB,0,07546147,PGHVF,22L
IB,0,07543949,DZHDN,18A
IB,0,07559740,ZGSMC,4V
IB,0,07562619,PPPEB,25C
IB,0,07587940,AZWVJ,6H
IB,0,07557985,ZDCFN,35V
IB,0,07548307,NOUCA,2R
IB,0,07576292,QNRLO,21E
IB,0,07535120,RYNHM,1N
IB,0,07548116,KAXOB,1F
IB,0,07537188,JFIUM,28B
IB,0,07535079,TAXQD,27X
IB,0,07574615,BFEPH,11L
IB,0,07532979,HWIUI,29M
IB,0,07567542,YZQJC,41O
IB,0,07533288,YOWTG,14W
IB,0,07590547,NGTMQ,8N
IB,0,07525526,YYULU,32A
IB,0,07563330,MDFDD,34R
IB,0,07530200,BODCL,17L
IB,0,07587311,KQMXF,3E
IB,0,07529020,ZZYPO,29P
IB,0,07533761,CJMZR,23T
IB,0,07525008,PNYMR,12J
IB,0,07533978,SXXXB,28B
IB,0,07582201,UMAID,8N
IB,0,07592021,ADSAC,24G
IB,0,07560839,NUYOE,27Y
IB,0,07554448,XCVFZ,39Y
IB,0,07591377,VGBYL,39W
IB,0,07595296,FRYJA,11F
IB,0,07538784,UPWUN,32V
IB,0,07536764,EHBXU,14Q
IB,0,07590690,LGPBZ,1N
IB,0,07528016,CENHL,27Q
IB,0,07542319,WYJLV,11R
IB,0,07564180,UIMRB,38D
IB,0,07595992,ULMHZ,12W
IB,0,07515834,DHKWN,24D
IB,0,07566238,IUUUB,33Q
IB,0,07545801,HGKAA,5D
IB,0,07595527,LWSHI,38J
IB,0,07599421,CQBJL,41P
IB,0,07529608,CWVOT,35T
IB,0,07547038,NGKBH,36M
IB,0,07569637,SENWZ,8T
IB,0,07562606,TPHYW,26Q
IB,0,07540261,KXIVR,2G
IB,0,07550935,APBZY,9L
IB,0,07595801,URNZY,34Y
IB,0,07579611,PWZTV,22R
IB,0,07564600,VMSDE,8N
IB,0,07550868,DJBOZ,4V
IB,0,07553764,TKWAP,39G
IB,0,07543227,MZJVK,40W
IB,0,07583799,SFKEK,6C
IB,0,07588433,WWCZH,21W
IB,0,07537507,KRUJZ,24O
IB,0,07551936,NIKMQ,10V
IB,0,07568617,HKUMK,6C
IB,0,07510904,MWJZN,23J
IB,0,07598986,OMDJR,11M
IB,0,07547158,MLDRQ,37K
IB,0,07536023,LSHUL,23D
IB,0,07545871,TPGYP,28X
IB,0,07527707,WXXCR,31L
IB,0,07515714,COUOU,31U
VY,1,03083098,EMPHZ,35W
VY,1,03034708,FFOQD,4V
VY,1,03035795,DRCXT,9C
VY,1,03020917,RVAYY,30V
VY,1,03024679,ETURX,22O
VY,1,03079812,FTVJY,42F
VY,1,03056263,KLCUU,40L
VY,1,03054933,OKQYY,23G
VY,1,03065193,LUXLU,33M
VY,1,03032286,BZKOD,12I
VY,1,03056034,EXUJP,36Z
VY,1,03048560,BGLSV,24B
VY,1,03065867,PBQHB,20B
VY,1,03089761,XQVRI,42M
VY,1,03015494,CUVES,22Y
VY,1,03017528,NLXBX,21L
VY,1,03023737,JLDCS,36O
VY,1,03055043,LVVAB,19J
VY,1,03020289,QXTPF,38I
VY,1,03026645,JNJRN,3B
VY,1,03035042,PEQHU,4K
VY,1,03014680,WXYMK,22C
VY,1,03042437,MUVTD,28H
VY,1,03058108,WVWKP,11O
VY,1,03049828,HVKIP,13B
VY,1,03096119,KGECW,38G
VY,1,03083465,LFTMI,15S
VY,1,03018774,OHMUR,21K
VY,1,03015525,PSFGT,15L
VY,1,03020007,RTRPA,23H
VY,1,03084888,SSORN,2F
VY,1,03030554,EHIYS,38O
VY,1,03061007,WOSUW,15F
VY,1,03061647,TXOFG,26X
VY,1,03022987,ZXSIL,4F
VY,1,03060200,GMQYV,3Z
VY,1,03020038,MTATL,20Q
VY,1,03038013,PPAHP,11F
VY,1,03041305,CNIME,39I
VY,1,03041813,KTYWP,24I
VY,1,03061288,QVUCX,11H
VY,1,03014441,HYLNH,42X
VY,1,03032179,WAXOK,25B
VY,1,03026957,ZRCJM,21D
